0,233,1
112,334,2
234,450,2
335,555,3
451,648,3
556,758,4
649,874,4
759,983,5
875,1067,5
984,1182,5
1068,1287,6
1183,1378,6
1288,1511,7
1379,1610,7
1512,1710,8
1611,1827,8
1711,1936,8
1828,2039,9
1937,2156,9
2040,2271,10
2157,2375,10
2272,2484,11
2376,2596,11
2485,2703,11
2597,2825,12
2704,2933,13
2826,3045,13
2934,3149,14
3046,3276,14
3150,3404,15
3277,3531,15
3405,3656,16
3532,3786,17
3657,3889,17
3787,3993,18
3890,4115,18
3994,4234,18
4116,4363,19
4235,4475,19
4364,4629,20
4476,4739,20
4630,4860,20
4740,4953,21
4861,5066,21
4954,5202,21
5067,5318,21
5203,5435,22
5319,5548,22
5436,5641,22
5549,5743,23
5642,5846,23
5744,5960,23
5847,6055,24
5961,6162,25
6056,6278,26
6163,6371,28
6279,6488,29
6372,6607,29
6489,6735,29
6608,6829,29
6736,6953,30
6830,7069,31
6954,7115,31
