0,209,1
104,313,1
210,409,1
314,509,2
410,617,2
510,723,3
618,828,3
724,926,3
829,1023,4
927,1122,5
1024,1233,6
1123,1337,6
1234,1439,8
1338,1538,8
1440,1651,9
1539,1761,9
1652,1872,10
1762,1977,11
1873,2086,11
1978,2191,12
2087,2311,12
2192,2417,13
2312,2498,13
2418,2598,14
2499,2694,14
2599,2793,15
2695,2896,15
2794,2999,16
2897,3105,16
3000,3201,16
3106,3301,17
3202,3415,17
3302,3509,17
3416,3628,18
3510,3727,18
3629,3828,19
3728,3924,19
3829,4013,20
3925,4134,21
4014,4249,21
4135,4363,22
4250,4473,22
4364,4586,24
4474,4696,24
4587,4800,25
4697,4894,25
4801,4995,25
4895,5108,26
4996,5234,26
5109,5332,26
5235,5430,27
5333,5527,27
5431,5645,28
5528,5760,28
5646,5876,29
5761,5979,29
5877,6083,30
5980,6184,30
6084,6290,31
6185,6389,31
6291,6499,31
6390,6609,32
6500,6705,32
6610,6798,33
6706,6896,33
6799,6993,34
6897,7087,35
6994,7192,35
7088,7284,35
7193,7381,36
7285,7483,36
7382,7585,37
7484,7687,37
7586,7796,37
7688,7903,38
7797,8005,38
7904,8097,39
8006,8203,39
8098,8296,40
8204,8405,40
8297,8514,41
8406,8616,41
8515,8712,42
8617,8808,43
8713,8903,44
8809,9010,44
8904,9120,44
9011,9240,44
9121,9365,45
9241,9490,45
9366,9593,46
9491,9700,47
9594,9800,47
9701,9901,48
9801,9987,48
9902,10029,48
