0,205,1
106,314,1
206,427,1
315,530,1
428,636,2
531,762,2
637,869,2
763,985,2
870,1082,2
986,1186,3
1083,1303,3
1187,1403,3
1304,1492,4
1404,1582,5
1493,1677,5
1583,1789,5
1678,1880,6
1790,1984,7
1881,2082,8
1985,2179,8
2083,2278,9
2180,2383,9
2279,2482,10
2384,2585,10
2483,2692,11
2586,2810,11
2693,2922,12
2811,3030,12
2923,3129,13
3031,3242,13
3130,3344,14
3243,3445,14
3345,3537,14
3446,3648,15
3538,3751,16
3649,3851,16
3752,3948,16
3852,4052,17
3949,4154,17
4053,4253,18
4155,4348,18
4254,4460,18
