0,209,1
102,310,2
210,429,3
311,532,4
430,654,4
533,752,5
655,852,6
753,952,6
853,1059,7
953,1166,7
1060,1278,8
1167,1376,8
1279,1507,9
1377,1619,10
1508,1705,11
1620,1816,12
1706,1933,12
1817,2042,13
1934,2157,13
2043,2265,15
2158,2367,16
2266,2470,16
2368,2574,17
2471,2682,18
2575,2787,19
2683,2903,21
2788,3013,21
2904,3116,22
3014,3236,23
3117,3346,24
3237,3455,25
3347,3560,26
3456,3684,27
3561,3783,28
3685,3900,29
3784,4004,30
3901,4104,31
4005,4245,32
4105,4359,32
4246,4473,34
4360,4611,34
4474,4735,35
4612,4871,36
4736,4978,37
4872,5092,38
4979,5106,39
