0,202,1
108,294,1
203,397,2
295,504,3
398,599,4
505,705,5
600,804,5
706,899,6
805,986,7
900,1074,9
987,1177,9
1075,1279,10
1178,1392,11
1280,1489,11
1393,1578,12
1490,1675,13
1579,1797,14
1676,1905,15
1798,2009,16
1906,2110,17
2010,2226,18
2111,2339,19
2227,2455,20
2340,2572,21
2456,2696,22
2573,2789,23
2697,2874,23
2790,2981,24
2875,3099,25
2982,3211,26
3100,3312,27
3212,3413,27
3313,3528,28
3414,3642,29
3529,3735,30
3643,3829,30
3736,3927,31
3830,4035,32
3928,4137,33
4036,4256,34
4138,4358,35
4257,4463,36
4359,4588,37
4464,4689,38
4589,4705,39
