0,198,1
102,295,1
199,396,2
296,496,2
397,610,3
497,704,3
611,807,4
705,904,4
808,999,5
905,1095,6
1000,1185,6
1096,1289,6
1186,1392,7
1290,1500,8
1393,1600,8
1501,1710,9
1601,1816,11
1711,1917,12
1817,2004,13
1918,2116,14
2005,2216,15
2117,2319,15
2217,2429,16
2320,2531,17
2430,2632,17
2532,2732,18
2633,2825,19
2733,2926,19
2826,3026,20
2927,3124,21
3027,3222,21
3125,3319,22
3223,3411,22
3320,3507,23
3412,3612,23
3508,3716,24
3613,3810,24
3717,3908,25
3811,4011,25
3909,4108,26
4012,4203,27
4109,4306,28
4204,4402,28
4307,4481,29
