0,221,1
111,325,1
222,431,1
326,534,2
432,629,2
535,730,3
630,833,3
731,943,4
834,1044,5
944,1144,5
1045,1272,6
1145,1401,6
1273,1519,7
1402,1635,8
1520,1757,8
1636,1857,9
1758,1968,9
1858,2083,9
1969,2204,10
2084,2300,11
2205,2387,12
2301,2484,13
2388,2595,13
2485,2700,14
2596,2803,14
2701,2926,14
2804,3032,15
2927,3136,16
3033,3227,16
3137,3336,17
3228,3451,17
3337,3555,18
3452,3667,19
3556,3798,19
3668,3922,21
3799,4036,23
3923,4162,24
4037,4287,25
4163,4402,26
4288,4534,27
4403,4677,29
4535,4806,30
4678,4952,33
4807,5095,34
4953,5213,39
5096,5237,43
