0,191,1
100,302,1
192,399,2
303,508,2
400,629,2
509,732,3
630,836,4
733,947,5
837,1054,5
948,1165,6
1055,1265,7
1166,1361,8
1266,1471,9
1362,1576,9
1472,1677,10
1577,1779,11
1678,1883,11
1780,1989,12
1884,2095,13
1990,2199,13
2096,2328,14
2200,2440,15
2329,2545,16
2441,2655,16
2546,2764,17
2656,2866,17
2765,2962,18
2867,3068,19
2963,3174,19
3069,3277,20
3175,3374,20
3278,3480,21
3375,3583,22
3481,3682,22
3584,3782,23
3683,3882,23
3783,3997,24
3883,4104,25
3998,4199,26
4105,4292,26
4200,4392,27
4293,4512,28
4393,4607,28
4513,4715,29
4608,4813,30
4716,4914,31
4814,5014,32
