0,201,1
104,300,1
202,405,2
301,520,2
406,629,3
521,716,4
630,819,4
717,913,4
820,1014,5
914,1109,5
1015,1218,6
1110,1319,6
1219,1424,7
1320,1517,8
1425,1630,9
1518,1734,9
1631,1836,10
1735,1941,11
1837,2053,11
1942,2160,12
2054,2271,13
2161,2382,14
2272,2503,16
2383,2623,17
2504,2732,18
2624,2836,20
2733,2945,20
2837,3059,21
2946,3179,22
3060,3298,24
3180,3409,25
3299,3505,26
3410,3620,27
3506,3741,27
3621,3860,28
3742,3959,30
3861,4077,31
3960,4203,32
4078,4311,33
4204,4427,34
4312,4549,34
4428,4644,36
4550,4756,38
4645,4870,38
4757,4984,40
4871,5100,40
4985,5204,41
5101,5314,42
5205,5423,43
5315,5530,44
5424,5559,44
