0,196,1
92,293,2
197,389,3
294,484,5
390,583,6
485,673,8
584,771,9
674,861,11
772,954,12
862,1065,13
955,1170,15
1066,1287,16
1171,1385,18
1288,1496,19
1386,1607,21
1497,1699,23
1608,1794,24
1700,1894,26
1795,1985,27
1895,2084,28
1986,2196,30
2085,2303,31
2197,2394,33
2304,2490,34
2395,2595,36
2491,2695,37
2596,2787,39
2696,2914,40
2788,3027,42
2915,3137,43
3028,3246,45
3138,3369,46
3247,3478,48
3370,3583,50
3479,3675,51
3584,3770,53
3676,3872,55
3771,3972,56
3873,4087,58
3973,4199,59
4088,4307,61
4200,4415,62
4308,4504,64
