0,209,1
98,311,1
210,422,2
312,534,4
423,630,5
535,725,6
631,823,7
726,937,7
824,1048,8
938,1153,10
1049,1262,11
1154,1368,12
1263,1475,13
1369,1583,14
1476,1687,15
1584,1784,16
1688,1881,18
1785,1979,19
1882,2089,19
1980,2193,21
2090,2292,22
2194,2381,23
2293,2478,25
2382,2579,26
2479,2673,27
2580,2777,28
2674,2904,29
2778,3019,31
2905,3108,33
3020,3205,34
3109,3311,35
3206,3425,37
3312,3534,38
3426,3632,39
3535,3737,40
3633,3833,42
3738,3936,43
3834,4047,44
3937,4146,45
4048,4251,46
4147,4380,48
4252,4488,49
4381,4608,50
